FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
555e086cd2f108e99ce94c0572f10b4a,Unassigned,NA,NA,NA,NA,NA,NA
e4b08427fabf29ab8b13a5c2cf889b61,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C15.7
4b54777840cbebc0120431f258480089,Unassigned,NA,NA,NA,NA,NA,NA
ad6bee7730f282aadd6a86523e4224a3,Unassigned,NA,NA,NA,NA,NA,NA
fed9734c772ecb71096000b9aa9cd6a1,Unassigned,NA,NA,NA,NA,NA,NA
fe15334373f76d5d902ea616726a8509,Unassigned,NA,NA,NA,NA,NA,NA
89b372bef9d64667edc5832e18df7467,Unassigned,NA,NA,NA,NA,NA,NA
1e8b1dc925153616b174d0017d226eab,Unassigned,NA,NA,NA,NA,NA,NA
39b9984d28d22163fe8d64cd07c84cc3,Unassigned,NA,NA,NA,NA,NA,NA
70b6db552ce09486ce54efe6a96688b8,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C15-KF623656.1
2dd6d35b62560743387656b8a3e1b9ac,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C116-GU111899.1
61182855bfcfb09d2e7c311366590a92,Unassigned,NA,NA,NA,NA,NA,NA
5ea2f546efb6e4055f06ee1a336da56e,Unassigned,NA,NA,NA,NA,NA,NA
26a3793a74d7c7553515faf9e1414ca7,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C1#-JF320827.1
96c366a00335a1682097540b9213e67b,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C15h-EU118166.1
fdcc37ffded3730786ccb7f8150eff40,Unassigned,NA,NA,NA,NA,NA,NA
c30ba35f618885df4044e1c71dc7cd21,Unassigned,NA,NA,NA,NA,NA,NA
825dae89f479e92fff8af872f984f45e,Unassigned,NA,NA,NA,NA,NA,NA
350ba446366e64b8d85cdfad004ff5d4,Unassigned,NA,NA,NA,NA,NA,NA
f49d5243c37a39e67840cd340ca9079a,Unassigned,NA,NA,NA,NA,NA,NA
eb78d25417e71f195e4afb5fc883077b,Unassigned,NA,NA,NA,NA,NA,NA
9084085d2bac765995455607a31b0e03,Unassigned,NA,NA,NA,NA,NA,NA
e2f5995c219eda220012071651b1d78f,Unassigned,NA,NA,NA,NA,NA,NA
7536099b55ab2dea5e1a0f64cb7a5814,Unassigned,NA,NA,NA,NA,NA,NA
b246fc571309d999381e2c5ce33cba6b,Unassigned,NA,NA,NA,NA,NA,NA
d237c6d1082f5d2df7f92488b2be52e0,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C21a-HQ650836.1
82751ad3fe222ea51f3f2bdda23efa1a,Unassigned,NA,NA,NA,NA,NA,NA
f5159047359333aafa027bb3bfbee220,Unassigned,NA,NA,NA,NA,NA,NA
188b4e77ff02108aaf1c2635f41cfe45,Unassigned,NA,NA,NA,NA,NA,NA
72b16e255f4eb2b6c9f196688c31075e,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, Cspc_C3-KY988166.1
7219116a457278a40758285fa2f5f04c,Unassigned,NA,NA,NA,NA,NA,NA
54f996c79955612728f4b33e1a41b746,Unassigned,NA,NA,NA,NA,NA,NA
9abda7d1bbb74d86539517d62d2ac9db,Unassigned,NA,NA,NA,NA,NA,NA
3d67610ceba25cbb64e4b4cb0dbbdb4e,Unassigned,NA,NA,NA,NA,NA,NA
a62187c13ceb6e5a9572c120982f282c,Unassigned,NA,NA,NA,NA,NA,NA
413c862b42f41256eab86d82a8eafb9b,Unassigned,NA,NA,NA,NA,NA,NA
468a2ab76784195626fa861b1e0597bb,Unassigned,NA,NA,NA,NA,NA,NA
47f1fa3eaf256f70e760a7a5031df913,Unassigned,NA,NA,NA,NA,NA,NA
b99a7c0bf3b29ba52083df4c8ef2aee8,Unassigned,NA,NA,NA,NA,NA,NA
22f0e6abf47059bec9eae71ca51eed6c,Unassigned,NA,NA,NA,NA,NA,NA
18b720e64c1ef8b8fd295b049d3a553f,Unassigned,NA,NA,NA,NA,NA,NA
c4ee023a191a021f4552c72e15599ed0,Unassigned,NA,NA,NA,NA,NA,NA
e5dbb8f648d668a11d64bc05bca2c86a,Unassigned,NA,NA,NA,NA,NA,NA
fe2dc0e4f9e3d788e50f44570659189f,Unassigned,NA,NA,NA,NA,NA,NA
1b6689d5727596f3e8d7fd237ba63642,Unassigned,NA,NA,NA,NA,NA,NA
